Tag (current label),Primary/secondary layer,Notes,
15 minute meals,Primary,,
30 minute meals,Primary,,
5 Ingredients Mediterranean,Primary,,
7 Ways,Primary,,
Air-fryer,Primary,,
Alfresco,Primary,,
American,Primary,,
Asparagus,Secondary,Child of Vegetable,
Aubergine,Secondary,Child of Vegetable,
Aussie Christmas,Secondary,Child of Christmas,
Australia,Primary,,
Avocado,Secondary,Child of Vegetable,
Baking,Primary,,
Barbecue,Primary,,
Beans,Primary,,
Beef main ingredient,Secondary,UPDATE TAG: Beef,Child of Meat,
Birthday,Primary,,
Biscuits,Secondary,UPDATE TAG: Biscuits & cookies, Child of Baking,
Bonfire night,Primary,,
Bread doughs,Secondary,UPDATE TAG: Bread & doughs,Child of Baking,
Breakfast and brunch,Primary,,
British,Primary,,
Broccoli,Secondary,Child of Vegetable,
Brownies,Secondary,Child of Baking,
Budget desserts,Secondary,Child of Budget-friendly,
Burger,Primary,,
Burns night,Primary,,
Butternut squash,Secondary,Child of Vegetable,
Cake,Secondary,Childe of Baking,
Canapes,Primary,,
Carrots,Secondary,Child of Vegetable,UPDATE TAG: Carrot,
Casserole,Primary,,
Cauliflower,Secondary,Child of Vegetable,
Cheap & cheerful,Primary,UPDATE TAG: Budget-friendly ,
cheese main ingredient,Primary,UPDATE TAG:Cheese,
chicken main ingredient,Secondary,UPDATE to child  TAG: Chicken (parent = meat),
chinese,Primary,UPDATE TAG: Chinese-style,
chocolate main ingredient,Primary,UPDATE TAG: Chocolate,
christmas-shortcuts,Secondary,Child of Christmas,
Christmas,Primary,,
cocktail,Secondary,Child of drinks,UPDATE TAG: Change to Cocktails
Comfort Food,Primary,,
Cook With Jamie,Primary,,
Cookbook Club,Primary,,
Courgette,Secondary,child of vegetable,
Curry,Primary,,
Dairy-free,Primary,,
Dessert,Primary,,
Dinner for two,Primary,,
Dinner Party,Primary,,
Dinner,Primary,,
Dip,Primary,UPDATE TAG: Dips & salsas,
Dressing,Primary,UPDATE TAG: Dressings & condiments,
Drinks,Primary,,
Duck,Secondary,Child of Meat,
Easter bakes,Secondary,Child of Easter,
Easter treats,Primary,UPDATE TAG: Easter,
Egg,Primary,,
Fakeaway,Primary,,
Family batch cooking,Secondary,UPDATE TAG: Batch-cooking, Child of Budget-friendly,
family food,Primary,UPDATE TAG:  Family favourites,
Fathers day,Primary,,
fish main ingredient,Primary,UPDATE TAG: Fish,
Freezer-friendly recipes,Primary,UPDATE TAG: Freezer friendly,
french,Primary,UPDATE TAG: French-style,
Friday Night Feast,Primary,UPDATE TAG: Jamies Friday Night Feast,
Fruit,Primary,,
Game,Secondary,Child of Meat,
Gluten-free,Primary,,
greek,Primary,UPDATE TAG: Greek-style,
Halloween,Primary,,
Healthy breakfast ideas,Secondary,Child of Healthy,UPDATE TAG:  Healthy breakfasts,
Healthy chicken recipes,Secondary,Secondary tag to Healthy ,
Healthy dinner ideas,Secondary,Child of Healthy,UPDATE TAG: Healthy dinners,
Healthy fish recipes,Secondary,Child of Healthy,
Healthy lunch ideas,Secondary,Child of Healthy,UPDATE TAG:  Healthy lunches ,
Healthy meals,Primary,UPDATE TAG:  Healthy,
Healthy snack ideas,Secondary,Child of Healthy,UPDATE TAG:Healthy snacks,
Healthy soup recipes,Secondary,Child of Healthy,UPDATE TAG:  Healthy soups ,
Healthy vegetarian recipes,Secondary,Child of Healthy,
indian,Primary,UPDATE TAG: Indian-style,
italian,Primary,UPDATE TAG: Italian-style,
Jamie at Home,Primary,,
Jamie Cooks Italy,Primary,,
Jamies America,Primary,,
jamies ministry of food,Primary,UPDATE TAG: Ministry of Food,
Jamie\s 5 Ingredient Meals,Primary,UPDATE TAG:  Jamies 5 Ingredient Meals,
Jamies America,Primary,,
Jamies Great Britain,Primary,,
Jamies Italy,Primary,,
japansese,Primary,UPDATE TAG: Japanese-style,
Juices and smoothies,Secondary,UPDATE TAG: Smoothies, juices & mocktails, Child of Drinks,
Keep Cooking and Carry On,Primary,,
