Tag (current label),Primary/secondary layer,Notes
15 minute meals',Primary,
30 minute meals',Primary,
5 Ingredients Mediterranean,Primary,
7 Ways,Primary,
air-fryer',Primary,
Alfresco',Primary,
american',Primary,
asparagus',Secondary,Secondary under vegetable
aubergine',Secondary,Secondary under vegetable
Aussie Christmas',Secondary,Secondary under Christmas
australia',Primary,
Avocado,Secondary,Secondary under vegetable
baking',Primary,
barbecue',Primary,
beans',Primary,
beef main ingredient,Secondary,"UPDATE TAG: Beef
Secondary under Meat"
birthday',Primary,
biscuits',Secondary,"UPDATE TAG: Biscuits & cookies
Secondary under baking"
bonfire night',Primary,
bread doughs,Secondary,"UPDATE TAG: Change to Bread & doughs
Secondary under baking"
breakfast and brunch',Primary,
british',Primary,
broccoli',Secondary,Secondary under vegetable
brownies,Secondary,Secondary under baking
Budget desserts',Secondary,Secondary under Cheap and Cheerful (budget-friendly)
burger',Primary,
burns night',Primary,
butternut squash',Secondary,Secondary under vegetable
cake',Secondary,Secondary under baking
canapes',Primary,
carrots',Secondary,Secondary under vegetable
casserole',Primary,
cauliflower',Secondary,Secondary under vegetable
Cheap & cheerful',Primary,UPDATE TAG: Change this to Budget-friendly please
cheese main ingredient',Primary,UPDATE TAG: Relabel as Cheese
chicken main ingredient',Secondary,"UPDATE TAG: Relabel as Chicken
Secondary under Meat"
chinese',Primary,UPDATE TAG: Chinese-style
chocolate main ingredient',Primary,UPDATE TAG: Relabel as Chocolate
christmas-shortcuts',Secondary,Secondary under Christmas
Christmas',Primary,
cocktail',Secondary,"Secondary under drinks.

UPDATE TAG: Change to 'cocktails'

SUGGEST: Having Drinks as the primary layer, and then split into: 
Smoothies, juices & mocktails, 
Cocktails 
Hot drinks"
comfort food',Primary,
cook with jamie',Primary,
Cookbook Club',Primary,
courgette',Secondary,Secondary under vegetable
curry',Primary,
dairy-free',Primary,
dessert',Primary,
Dinner for two',Primary,
Dinner Party',Primary,
dinner',Primary,
dip',Primary,UPDATE TAG: Change to Dips & salsas
dressing',Primary,UPDATE TAG: Changing to Dressings & condiments
drinks',Primary,
duck',Secondary,Secondary under Meat
Easter bakes',Secondary,Secondary under Easter
easter treats',Primary,UPDATE TAG: Easter
egg',Primary,
fakeaway',Primary,
Family batch cooking',Secondary,"UPDATE TAG: Batch-cooking
Secondary under Cheap and Cheerful (budget-friendly)"
family food',Primary,UPDATE TAG: Changing to Family favourites
fathers day',Primary,
fish main ingredient',Primary,UPDATE TAG: Changing to Fish
Freezer-friendly recipes',Primary,UPDATE TAG: Changing to freezer friendly (deleting 'recipes').
french',Primary,UPDATE TAG: Change to French-style
Friday Night Feast,Primary,UPDATE TAG: Jamie's Friday Night Feast
fruit',Primary,
game',Secondary,Secondary under Meat
gluten-free',Primary,
greek',Primary,UPDATE TAG: Change to Greek-style
halloween',Primary,
Healthy breakfast ideas',Secondary,"Secondary tag to 'healthy meals' (to become 'healthy')
UPDATE TAG: Change to Healthy breakfasts"
Healthy chicken recipes',Secondary,Secondary tag to 'healthy meals' (to become 'healthy')
Healthy dinner ideas',Secondary,"Secondary tag to 'healthy meals' (to become 'healthy')
UPDATE TAG: Change to Healthy dinners"
Healthy fish recipes',Secondary,Secondary tag to 'healthy meals' (to become 'healthy')
Healthy lunch ideas',Secondary,"Secondary tag to 'healthy meals' (to become 'healthy')
UPDATE TAG: Change to Healthy lunches (OR merge with Healthy dinners and change to Healthy lunches & dinners) "
Healthy meals',Primary,UPDATE TAG: Change to 'healthy'
Healthy snack ideas',Secondary,"Secondary tag to 'healthy meals' (to become 'healthy')
UPDATE TAG: Change to Healthy snacks"
Healthy soup recipes',Secondary,"Secondary tag to 'healthy meals' (to become 'healthy')
UPDATE TAG: Change to Healthy soups "
Healthy vegetarian recipes',Secondary,Secondary tag to 'healthy meals' (to become 'healthy')
indian',Primary,UPDATE TAG: Change to Indian-style
italian',Primary,
jamie at home',Primary,
Jamie Cooks Italy',Primary,
Jamie's America,Primary,
